,review,sentiment
7594,"I really enjoy this film. It is a look back in time when this nation was truly at risk from nations who either attacked or delared war on us,i.e., the Japanese and Germans. Robert Cummings and Pricilla Lane were excellent in the lead roles. The supporting cast... Otto Kruger, Alan Baxter, Clem Bevins, and Norman Lloyd were also outstanding. The direction, pace, and finale held and continue to hold my interest. So much so, that I bought my own copy. Thank goodness for Turner Classic Movies, they show so many of the truly classic films, including this one.<br /><br />Robert Cummings was certainly no light weight as an actor and although I am a great fan of Gary Cooper and Joel McCrea, two of my favorite actors, who were first offered the lead role, I don't see what they would have brought to the role that would have surpassed Bob Cummings' performance.<br /><br />This is a film that I enjoy watching repeatingly and urge others to view.",positive
35056,"Battleship Potemkin is a celluloid masterpiece. The direction of<br /><br />Eisenstein is truly a sight. The film chronicles a ship of disgruntled<br /><br />sailors who are tired of being mistreated by their superior officers.<br /><br />Eventually, the sailors finally have enough of the abuse and send the<br /><br />officers packing. During this time period, there was a shortage of film<br /><br />stock in the Soviet Union. The goverment wanted to get their message<br /><br />out to the people so they started a National Film Company and one of<br /><br />the members was Sergei Eisenstein. The films were shot on miniscule<br /><br />budgets and the shortage of film stock forced Eisentein to be careful<br /><br />and selective with the footage that he shot. In the end, Eisenstein had<br /><br />to reuse footage in order to make a feature length picture.<br /><br />The most famous of the action set pieces in this film is the much<br /><br />talked about massacre on the steps. This scene was spoofed in Bananas <br /><br />and most recently in Brian De Palma's The Untouchables. If you want to<br /><br />learn film-making, I strongly advise you to watch Battleship Potemkin.<br /><br />It's one of the essentials.<br /><br />A+",positive
109,"This is the best version (so far) that you will see and the most true to the Bronte work. Dalton is a little tough to imagine as Rochester who Jane Eyre declared ""not handsome"". But his acting overcomes this and Zelah Clark, pretty as she is, is also a complete and believable Jane Eyre. This production is a lengthy watch but well worth it. Nearly direct quotes from the book are in the script and if you want the very first true 'romance' in literature, this is the way to see it. I own every copy of this movie and have read and re-read the original. The filming may seem a little dated now but there will never be another like this.",positive
47388,"""Telefilms"" tend to fall under the pitfalls of a low budget and a hasty shooting schedule, which is why this film always tends to buck the trend.<br /><br />George C. Scott embodies Ebenezer Scrooge perfectly, fully encompassing all of his cold tendencies, and still makes him a simpathetic character. The production value for this film was exceptional, never relying on boffo special effects or soundstage set-ups, yet relying on the depth and clarity of on-site shooting and strong backdrops. A movie that certainly stands alone.",positive
43098,"This is a skillfully crafted piece of cinema that deals with a teenage boys confused sexuality.The cut scenes within can be lengthy but the cinematography is beautiful.This film would not appeal to many people, especially those who are queasy about gay teenage relationships, but the more open minded can sympathize with the puzzled protagonist.",positive
437,"This mostly routine fact-based TV drama gets a boost from the fine performance by Cole. This is the story of a highly trained military man, unhappy with his wife and children, fakes his demise and runs off with the other woman. To support her in the manner in which she is accustomed he robs banks. Predictable, but not a bad watch.",positive
16938,"The Thief of Bagdad is a treasure. First and foremost, it is a good story. Though my four children's primary exposure to this tale, the most famous of the stories of the Arabian Nights, comes from the Disney Corporation, the Thief of Bagdad held their interest to the end. The story moves along at a good pace and includes a twist or two that reduced predictability. Sabu, who plays the young thief, Abu, also measures up to any of today's teen actors in appeal, judging from the number of times I heard my oldest daughter say, ""He's c-u-t-e!"" <br /><br />In 1940, the film won Oscars for cinematography and special effects. Today, of course, those effects seem very dated (""Look, it's Barbie flying through the air,"" declared my daughter at the sight of the genie flying). Yet they fit into the story well. The film is, after all, over 60 years old. The effects fit with the script. Furthermore, what ones sees in The Thief of Bagdad remained pretty much state-of-the-art for the next twenty-five years. One need only compare the opening montage from a 1967 Star Trek episode to see this. In that, it was quite an achievement.<br /><br />This qualifies as a family film, though there are a few stabbings near the end. The acting is so obvious and the wounds so bloodless as to those scenes nearly as artificial as animation.<br /><br />All in all, a fun film worth watching for either an evening of pure entertainment, or for the historical value of the effects. I recommend it.",positive
17312,"I am a music lover and was excited to see this movie. Unfortunately, I was disappointed. I was ready to walk out half way through the movie. I didn't identify with any of the characters, which meant that I didn't care what happened to them and lost interest in the story completely. On the good side, Ed Harris looked exactly like Beethoven, and the 9th Symphony is always a pleasure to hear, so that made part of the film bearable. Also the parts where they talk about the bridge almost redeemed the entire movie, but it couldn't sustain me through to the end. The actors did what they could with what they had to work with, but the screenplay just wasn't adequate to make it even remotely interesting. The bit about ""wash me"" was utter rubbish. I wonder how many takes the actors had to do on that one (I wouldn't be able to say those lines without bursting into laughter.) Anyway, such a shame, it could have been so much better.",negative
43807,"It seems a lot of Europeans and Americans see Indian movies for the wrong reason; I see some people are complaining that this movie did not have any dance sequence! A class apart from their Hindi counterparts, Bengali movies tend to be more realistic. Rituparno Ghosh is one of the best young directors in India, being widely known for his choice of subjects for the movies and the strength of his scripts. 'Chokher bali' is a perfect example. A faithful adaptation of the Nobel laureate Tagore's novel dealing with the pursuit of sexual pleasure of a Bengali widow, the director gives a new dimension to the much acclaimed and controversial work.",positive
2237,"Currently, this film is listed on IMDb as the 42nd worst film ever made--which is exactly why I rented it from NetFlix. However, I am saddened to report that the film, while bad, is no where near bad enough to merit being in the bottom 100 films ever made list. I have personally seen at least 100 films worse than this one. Hardly a glowing endorsement, but it just didn't meet the expected level of awfulness to be included on this infamous list.<br /><br />The film begin with Stewart Moss and Marianne McAndrew on their belated honeymoon (by the way, they are married in real life as well). He's a doctor who is obsessed with bats and insists they go to a nearby cave. Once there, they behave very, very, very stupidly (hallmark of a bad film) and are soon bitten by a bat. According to this film, bats love to attack people and there are vampire bats in the US--both of which are not true at all.<br /><br />Oddly, after being bitten, the man doesn't even bother going to the hospital!! The first thing on anyone's mind (especially a doctor) is to get medical help immediately, but not this boob. Soon, he's having seizures--yet he STILL isn't interested in seeking help! Again and again you keep thinking that this must be the stupidest couple in film history!! <br /><br />After a while, he eventually goes to see a doctor and is sent to the hospital. But, by then it's too late and his attacks become more violent and he begins killing people to suck their blood. When it's totally obvious to everyone that the man is a crazed killing machine, the wife (who, like her husband, has a grapefruit for a brain) refuses to believe he's dangerous--even after he attacks people, steals an ambulance and runs a police car off the road!! <br /><br />Now most of the time Moss is going through these episodes, his eyes roll back and he looks like a normal person. Oddly, however, a couple times he develops bat-like hands and towards the end they used some nice prosthetics on him to make him look quite bat-like. Had this been really cheesy, the film would have merited a 1.<br /><br />In the very end, in a twist that hardly made any sense at all, the wife inexplicably turned into a crazed bat lady and had a swarm of bats kill the evil sheriff. How all this was arranged was a mystery as was Moss' and McAndrew's belief that this film would somehow help their careers--though they both have had reasonably long careers on TV playing bit roles since 1974.<br /><br />Overall, very dumb. The plot is silly and makes no sense and strongly relies on people acting way too dumb to be real. Not a good film at all, but not among the worst films of all time either.<br /><br />NOTE: For some reason, IMDb shows the graphic for the three DVD set for IT'S ALIVE and it's two sequels of the web page for THE BAT PEOPLE. While THE BAT PEOPLE has been seen with the title ""It's Alive"", the two movies are not at all related. It's easy to understand the mistake--especially since they both came out in 1974, but the movie I just reviewed starred Stewart Moss and Marianne McAndrew and the other film starred John Ryan and Sharon Farrell.",negative
29347,"I have nothing at all against Paul Schrader. In fact, HARDCORE (1979) is one of my very favorite films. But some horror movie fans were in a premature uproar when his original version of the EXORCIST prequel (DOMINION; this one you're reading about right now, as it turns out) was scrapped by Warners, and when Renny Harlin was substituted to spruce things up and make a new version that was ""more scary"". In my opinion, some viewers were prejudiced and became automatically juiced up for hating Renny Harlin's take on the subject (EXORCIST: THE BEGINNING) before the first frame of film was ever even unspooled for them to judge. And I ought to know; because I myself went into the theatrical premiere of BEGINNING with stubborn arms folded, and prepared for the absolute worst, which I was sure had to come. Imagine my surprise when I found Harlin's BEGINNING to be much more serious than I ever could have conceived, with a good performance from Stellan Skarsgard as a young version of Father Merrin, who was struggling with his faith in God. It wasn't a great film by any means, but it was nowhere near the garbage I had prepared myself for, well in advance, sight unseen.<br /><br />Well, now I finally HAVE seen the true garbage version - and it's Paul Schrader's DOMINION: PREQUEL TO THE EXORCIST. It was relentlessly talky, uninteresting, and insipid. Stellan Skarsgard's troubled priest was nowhere near as interesting as he had been for me in Harlin's film, and the actor himself not as good in the part. For all those who pointed out the obvious CGI effects in BEGINNING, guess what? They're here in DOMINION as well. Remember the silly ending in Harlin's rendition (which I'll also agree tainted the rest of that movie)? Well, you're going to find that this ending from Schrader isn't a hell of a lot less lame.<br /><br />Let me also say that I resent the nonsense that's been presented by those who appreciate this film better than Harlin's, by saying that we're ""retards"" or ""cannot appreciate subtle film-making"". As a person who despises Stephen Sommers' MTV-fashioned MUMMY of '99, and being a true fan of the very suggestive and discreet old horror films of the '30s and '40s, I can assure you this is not the case with me. At least there was ""some"" degree of terror and Exorcist-type goings on in Harlin's BEGINNING; this one here is just a real exercise in tedium and a great challenge even for the most certified of insomniacs. It's going to be quite interesting to hear horror fans try to convince themselves that DOMINION: PREQUEL TO THE EXORCIST was as good as they'd already made their minds up for it to be in advance; just as they were already pre-disposed to lambasting Harlin's BEGINNING the second they learned Paul Schrader's name was getting soaked with the White-Out.",negative
30495,"This movie is brilliant in every way. It touches on the complexities of loving relationships in a meaningful way, but never lectures. The script never condescends toward any character, not even the hapless Johnny. It also and benefits from spot-on direction, production design, casting, and performances. The fact that Cher is so perfect in the film and is more unlike ""Cher"" than she has ever been is a wonder to me. I watch Moonstruck at least once a year and I just viewed it again this Christmas eve with my 16 year old twin daughters and they loved it as well. It has something for everyone with a heart and leaves you filled with joy in the end.",positive
8880,"in this movie, joe pesci slams dunks a basketball. joe pesci...<br /><br />and being consistent, the rest of the script is equally not believable.<br /><br />pesci is a funny guy, which saves this film from sinking int the absolute back of the cellar, but the other roles were pretty bad. the father was a greedy businessman who valued money more than people, which wasn't even well-played. instead of the man being an archetypal villain, he seemed more like an amoral android programmed to make money at all costs. then there's the token piece that is assigned to pesci as a girlfriend or something...i don't even remember...she was that forgettable.<br /><br />anyone who rates this movie above a 5 or 6 is a paid member of some sort of film studio trying to up the reputation of this sunken film, or at least one of those millions of media minions who can't critique efficiently (you know, the people who feel bad if they give anything a mark below 6).<br /><br />stay away...far away. and shame on comedy central, where i saw this film. they usually pick better.",negative
32448,"A very interesting addition to the Scandavian surrealistic collection. Recommended viewing for those who like their movies complicated. My interpretation of the 'strange' ending would be that Andreas' journey ends in Hell. He dislikes the bland consumer-led emptiness of purgatory; a sort of 'living' but not progressing, i.e. not getting anywhere - even the city's metro trains don't stop at the stations. It has a Metro system, like you should be able to travel, freedom, escape, but you can never actually board those trains. He is unable to reach fragrant, sensory heaven and winds up continuing his bus journey to its final destination. The old Norse version of Hell (Hades, NOT Hell the terrestrial city) isn't burning hot like the British version, its cold, freezing, the land of Niflheim (land of cold and mists). This appears to be where Andreas end up, having just failed to access Heaven through that tunnel.",positive
2980,"I, being a fan of Rupert Grint, rented this film a few months ago. I thought it was a very well written movie with a bunch of great actors. It was entertaining, and showed that Rupert Grint could play more than his most well known character of Ron Weasley. His subtle portrayal of Ben and everyone else's great acting made this film very likable.<br /><br />Ben, a very shy boy with a extremely religious and sensitive mother, is looking for a job. He finds one and becomes the, I guess you could call ""assistant"" to Evie, a retired actress. At first, it is just a way for him to earn some money. But after a while, he and Evie seem to develop a friendship. Evie helps Ben break out of his shell a little and gets him to have fun and be happy with himself, and in the end they both seem to need each other.<br /><br />Whether you are a fan of Rupert Grint or not, this movie is a really entertaining one with some very cute and moments. I highly recommend it to anybody who wants to see a great movie with great and talented actors.",positive
25259,"The bottom line is: if you come looking for a sci-fi thriller/horror film, The Matrix is what you'll like. If, like me, you long for the rare true science fiction film involving characters with depth and provocative thought about where science will take us, then you need to see eXistenZ.",positive
13388,"I really am shocked to see the number of reviews that lambaste this movie. This movie was not intended to be a ""deep thought"" movie, which is what the vast majority of the reviewers seem to think it should be. In fact, it would appear that if ANY movie doesn't produce a life altering insight, and a deep, twisted, mind boggling plot, they would rate it a 1 or 2. Don't trash a movie because you don't like the genre, people.<br /><br />This movie was an Action/Comedy flick, and that's all it was intended to be. And for an Action/Comedy, it was very well done. I was actually rather surprised that I enjoyed it as much as I did, having never really been a Jamie Foxx fan, and having the over-used plot that it has.<br /><br />The plot was nothing spectacular, using the typical criminal gets out of prison, and is thrown into bad-guy plot while trying to clean up his act (See Blue Streak, Hudson Hawk, 48 Hours, etc. etc. etc.) but it was warmed over with a bit of a technological twist. Now the ""bad guys"" are actually the ""good guys"" and the REAL ""bad guy"" is an uber-geek.<br /><br />Jamie Foxx actually plays a convincingly humorous, while at the same time rather intelligent and serious main character, and didn't try to overdo the humor side of the film.<br /><br />If you're looking for a deep underlying plot such as in ""The Matrix"" or a drama such as ""Of Mice and Men"" then this movie isn't for you. But if you enjoy the raw action, excellent fast-paced filming, and an occasional twist of humor tossed in, this movie won't disappoint you. I would normally have rated it about an 8 (on the same level as the Die Hard Trilogy), but instead gave it a 10 to try and bring the score up to what it SHOULD be.<br /><br />",positive
26886,"Before I sat down and watched this film on HBO, I wasn't expecting nothing but a few laughs here and there and all together a stupid and common plot. Well, that's exactly what I got out of it, except that I was somewhat satisfied at the end of the movie. I wasn't expecting it to be, I thought it was just going to be another hour and a half that I had on my hands to waste. Well, it was, but still it was somewhat worth it. The whole plot was very stupid, cheap acting, and some of the lines were very very dumb. Otherwise than that, it still had it's funny moments, even though not many.<br /><br />All in all, if you're going to rent this, don't. Watch it on television. I gave it a 4, I was generous because it made me laugh, but yet it was still pretty stupid.",negative
28088,"Well, SWORD IN THE MOON finally got a DVD release in Korea, and despite the mostly negative responses I've heard to it, and the suspiciously tardy DVD release, I couldn't help but pick it up - any wu xia film is better than most non-wu xia films in my eyes :D Perhaps low expectations were an advantage, because I was quite pleasantly surprised to find the film pretty enjoyable.<br /><br />An assassin is killing a number of ministers who were involved in a revolution that usurped the throne, and the government's top swordsman is tasked with identifying the culprit. This doesn't take particularly long, but the answer is not one he wanted to hear. Through prolonged flashbacks we learn why, and the history of the swordsman and the assassin, and of the revolution.<br /><br />The film is typically melodramatic for a Korean film, and resolutely serious in tone - no HK style comedy moments to be found here. The story can be a little difficult to follow at first, but all makes sense eventually. The film goes a bit wobbly at the end, but no worse than a Chang Cheh film might do, and for the most part I found it enjoyable. The production values are high, with some good cinematography to capture it. The fight scenes aren't up to the calibre of the better HK wu xia films, but perhaps they're not meant to be - the fights are more ""realistic"", in that they're less like choreographed dance routines, but there's some wirework and occasional cgi that put the film in ""wu xia"" mode. The film doesn't have the best cast, unfortunately, with the leads being a tad lacking in charm and occasionally difficult to distinguish from each other. There's a young lady in the film that I don't think I've seen before, but makes the best impression of any of the principle cast - not just because you see her nekkid... or perhaps it is :p The film lacks the charm and grace of the better HK wu xia films, and perhaps the beauty too, but I only wish HK would make them half this good anymore - TWINS EFFECT 2 does not give me hope that *that's* about to happen any time soon, though Tsui Hark surely still has it in him if he can get the funding and cast. SWORD IN THE MOON is not going to go onto my list of favourite wu xia by any means, but it's a whole heap better than ROMANTIC WARRIORS or LEGEND OF THE EVIL LAKE - perhaps better than BICHUNMOO too, though I did like that film quite a bit more on a second viewing. Obviously it's nowhere near the wonderful MUSA, but it's a different affair altogether really. SITM will probably get a second viewing within three years, which is perhaps the best indicator of how much I liked it :) 7/10",positive
34133,"This film is good in it's genre and that genre is naturally action with a little/average budget. Looks like Van Damme delivers greatly better performances when he has a good director guiding him. There is your basic bar brawl, alley scene and mostly a lot of gun fighting. Some basic drama, but nothing too deep. Isaac Florentine directs an OK action flick if you ignore the weak plot and the holes in it. But the person who steals the show is: <br /><br />Scott Adkins. How come this guy isn't a massive Arnold Schwarzenegger caliber action star that I don't know. Director Isaac Florentine has made a movie with Scott Adkins before called Special Forces (2003) which has some unbelievable martial arts talent that will satisfy the most demanding kungfu enthusiastic. Another amazing Scott Adkins feature is Undisputed 2. Check this guy out and make a noise, this guy needs to get super action star status and he needs to get it now!<br /><br />What else can I say about the movie? It's Van Damme stepping up a notch from some of his most recent work. No Oscars here for sure, but you already knew that. But never the less it has a nice little town feel and I could find worse ways to spend my time. So I'm giving this a solid 7 out of 10 in it's genre.",positive
27372,"Ok, after reading a couple of reviews on Atlantis: The Lost Empire, I just want to clear up some misunderstanding as to it being a direct rip off from Nadia: Secret of the Blue Water. The only part that was a ripoff from Nadia is that the pendant from Nadia and the pendant from Atlantis bear so much resemblence in terms of how it's used, origins and how it's created from the source of life that there's no doubt about it being copied. If you want to consider how Kida and Nadia is dressed alike then you could put that against Disney too(It was kind of wierd for Nadia and Kida to wear that bikini style clothing in an adventure sci-fi, not to mention they both move in a similar style too). As an anime fan I have to agree there's some degree of copying but it's only on the minor details and even though not many of the ideas are original (like the encryption design on the wall in Laputa, the ancient mask from Princess Mononoke, the resemblence of the vehicles to the Garfish submarine in Nadia, etc)...The plot itself I believe it's highly original and it's quite amazing that Disney can pull it off without the use of Captain Nemo(the main character in Jules Verne's 20k Leagues Under the Sea which is also the main character in Nadia). As for Mylo and Jean wearing similar style glasses...As shown in the novel ""Lord of the Flies"", glasses is a symbol of wisdom and intelligence. I think Mylo, Jean, the main character from Stargate and a dozen of other ""INTELLIGENT"" characters would look kind of unfit for the role if they went in without glasses. As for the submarines, and how the submarines fight(with those wide blast torpedos which really resembles what Nautilius does), I want to state that it's a required element for either one if Atlantis is involved in the plot(after all it's a sunken city beneath the waters). As for the crew having some charactistical resemblence with the crew from Nautilius in Nadia, it might be the artwork but I don't sense any copyright infringement there as the character's personalities were perfectly original to me. As an anime fan that rated Nadia as the #1 best anime I ever watched even now today. I do have my doubts about Atlantis when I first saw the preview. But now that I watched the movie, I once again regained my confidence with Disney and have high hopes for their future movies after Atlantis. Overall, the best Disney movie yet without me shivering at the sound of their songs at the middle of the movie and it's a plus that they revised their cheesy scripts to make it even better. Also, it's amazing that they actually portray the bad guys look normal with out making them overly evil in the beginning (I was wondering who the bad guys are and only the blonde girl kind of resemble the looks of a bad character in terms of how Disney draws it aka make the bad guys look really menacing)",positive
4509,"Attack Force has a horrendous title, and can almost certainly be judged by it's awful cover, because the film is horrible! A mish-mash of plot lines, a choppy mess, and a horribly stagnated pace, make the film hard to watch start to finish. I managed this and I'm proud. As a fan of Seagal's work (mostly of his old days), it's painful to see him star in such tripe. True Seagal's last half dozen movies or so, have sucked a lot, but some of them at least had some redeeming features. Attack Force is a mess. From conception to delivery this film has undergone many changes, from an alien plot line, to the current one about a highly addictive super drug, about to be unleashed on the Romanian (the film has several settings, none of which are Romanian, but all look like Romania because they are in Romania!) populace. The film is tacked together with little regard for whatever state the original shooting script was. Plot-holes and loose ends are abound in the film that's for sure. That's been a problem in Seagal's last few films as well, but never has the result been so boring. There's a whole plot line about the water supply being poisoned with CTX (that's the drugs cool name) that is never resolved! <br /><br />Of course in recent years the plot's haven't been the main draw in the Seagal canon so there was a big onus on the other departments, especially the action. Before I regard the action though, all the other departments are poor. The direction is poor, or perhaps better put, made to look poor. Who knows how director Michael Keusch originally intended this film? Between him finishing his job, the re-shoots by stunt man Tom Delmar, and the editing, a coherent auteur vision is completely lost. The best way to describe the film is that it's just all over the shop! The cinematography is dull, nearly inducing sleep, while the droning score (sounding like it was produced on the cheapest of cheap synthesizers) does nothing to excite matters. The cast too are poor, unable to salvage anything here. Seagal looks bored beyond recognition, and is dubbed through much of the picture, clearly when plot-points are being changed. He looks tired and overweight, and lethargic, unlike he's looked in previous pictures too (remarkable as the aforementioned have been key complaints in Seagal's recent pictures). The only redeemable cast member is Adam Croasdell as one of the villains, doing a slimy Brit routine. He seems to be a throwback to the alien plot line, because he's playing it inhuman. He seems like a cross between a body snatcher and a vampire (ditto to the lead villain played by some hot chick who appears on occasion, seemingly waiting for her husband Dracula).<br /><br />Finally the action. Well it's poor. Poorly conceived, poorly shot. There's not much either, and there's even less featuring Seagal. Stevo doesn't really bring out the stunt double here, because there's so little to do. There's even a lengthy (repetitive and boring) action scene on the hour mark that inter-cuts occasionally with little flashes of Seagal's stand in because clearly Seagal wasn't there while the scene was being shot, and they wanted to have him feature in the action scene. Seagal eventually appears in person to shoot two guys in the head. Seagal has a producers credit here and a script credit, but from what I understand the film has been altered behind his back to the current state it's in. Seagal will apparently not be working with these people again, or with Castel Studio's who continue to deliver horrifically sub-Nu-Image (that's saying something), material.<br /><br />Overall this is one to avoid if you are not a Seagal fan. Seagal fans can also be safe in the knowledge that the big man probably won't want to do anything this bad again. Unfortunately his next film which has already been shot, with the same people, promises to be even worse than this. *",negative
6343,"Woaww Is it only now that you notice the links between all the characters ?? Of course it's Libby ! And for the guy in the hatch with Desmond, any deja vu ??? Yeah !! He was the ""same"" guy that gave money to Sayid after he's killed or tortured the other soldier in the episode 14th of the 2nd season : One of Them. Well actually it's not completely the same guy, he's named Joe in the 14th episode and Kelvin in the last 2 episodes. Twins ?? :) Who knows ?? JJ Abrams ... mmmm I'm not even sure of that :) There are hundreds of links like this one between all the characters.<br /><br />But that was just in response to the Libby comment.<br /><br />I found those 2 episodes far more interesting than the whole season 2. During all that season I felt that there was lots of things I've missed and very few things I've learned. Especially at the very beginning, the 1st episode of the 2nd season is excellent, and then the 2nd one is a kind of flash back of the 1st one ... I found that disappointing even if I'm pretty sure that everything in Lost tend to have a meaning. That was just an example of how I was frustrated watching those episodes.<br /><br />Let's go back to the last 2 episodes. I think we've learned more new things in those 2 episodes than in the entire season. But all we learn are little pieces for the next puzzle, like the involvement of Desmond's ""relatives"" (sorry if I spoil too much, believe me or not I'm trying not to) for example. So lots of things evoked in the past 2 seasons are still unclear or have been developed once then nothing. And still, there's new material as if all the holes in the picture were not enough. We all want to see the big picture of all of it of course, but I think we'll have to be very very patient. I hope there will be only 3 seasons. I'm not sure I will watch more than 3 seasons anyway. There was also lots of actions in the very last episode. And a good cliffhanger at the very end.<br /><br />So basically, yes I loved that last episode ... and yes I want to see the third season.",positive
